food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,Total_Nutrition,Nutrition_Density,Protein_Ratio,Carbohydrate_Ratio,Fat_Ratio,Micronutrient_Sum,Nutrient_to_Calorie,Fiber_to_Sugar_Ratio,Saturated_Fat_Ratio
sweet potato leaves cooked,22,0.2,0.099,0.008,0.006,4.7,3.5,1.4,1.2,0.0,0.2,57.1,0.0,0.057,0.016,0.0,0.2,0.6,0.1,0.1,1.0,0.0,0.6,0.012,21.1,0.008,0.4,30.7,0.1,25.6,199.7,0.083,0.2,30.0,237.813,10.809681818181817,0.2545454545454545,0.8545454545454546,0.08181818181818182,230.39999999999998,10.47272727272727,0.34285714285714286,0.495
rutabaga cooked,72,0.4,0.007,0.037,0.2,16.4,9.5,2.2,4.3,0.0,0.049,219.7,0.0,0.2,0.069,0.0,0.091,1.7,0.4,0.2,45.1,0.0,0.6,0.03,43.2,0.052,0.4,24.0,0.2,98.4,518.4,0.022,0.3,112.0,565.544,7.854777777777778,0.12222222222222223,0.911111111111111,0.05,542.4,7.533333333333333,0.4526315789473684,0.017499999999999998
turnip greens cooked,29,0.3,0.091,0.065,0.1,6.3,0.8,1.6,5.0,0.0,0.4,134.2,0.0,0.077,0.2,0.0,0.1,0.6,0.4,0.3,39.5,0.0,2.7,0.5,197.3,0.4,1.2,31.7,0.5,41.8,292.3,0.013,0.2,251.2,337.156,11.626068965517241,0.22068965517241382,0.8689655172413793,0.09310344827586206,324.0,11.172413793103448,6.25,0.30333333333333334
jerusalem artichokes,110,0.047,0.0,0.065,0.036,26.2,14.4,3.0,2.4,0.0,0.011,117.0,0.0,0.3,0.052,0.0,0.049,2.0,0.6,0.1,6.0,0.0,0.3,0.014,21.0,0.2,5.1,25.5,0.014,117.0,643.5,0.083,0.2,63.742,700.701,6.370009090909091,0.10909090909090909,0.9527272727272728,0.003845454545454545,669.0,6.081818181818182,0.16666666666666666,0.0
oriental radish dried,314,0.8,0.3,0.1,0.4,73.5,43.3,9.2,27.7,0.0,0.3,22.8,0.0,0.3,0.3,0.0,0.8,3.9,2.2,0.7,0.0,0.0,0.008,0.031,729.6,1.9,7.8,197.2,0.6,236.6,4053.0,0.091,2.5,848.6,4361.4,13.88980891719745,0.11719745222929935,0.9363057324840764,0.022929936305732486,4250.2,13.535668789808916,0.6397228637413395,0.37499999999999994
tomatillos,42,1.3,0.2,0.2,0.6,7.7,5.2,1.3,2.5,0.0,0.019,121.0,0.0,0.088,0.093,0.0,0.099,2.4,0.2,0.074,15.4,0.0,0.5,0.033,9.2,0.1,0.8,26.4,0.2,51.5,353.8,0.055,0.3,38.2,392.7,9.35,0.12380952380952381,0.7333333333333334,0.2785714285714286,380.2,9.052380952380952,0.4807692307692307,0.15384615384615385
sweet red peppers raw,46,0.4,0.088,0.016,0.1,9.0,6.3,1.5,3.1,0.0,0.092,137.4,0.0,0.094,0.089,0.0,0.1,1.5,0.5,0.4,190.3,0.0,2.4,0.095,10.4,0.037,0.6,17.9,0.2,38.7,314.4,0.081,0.4,215.3,346.104,7.524,0.13043478260869565,0.782608695652174,0.0782608695652174,332.29999999999995,7.22391304347826,0.4920634920634921,0.21999999999999997
oriental radish cooked,25,0.4,0.1,0.026,0.2,5.0,2.7,1.0,2.4,0.0,0.4,139.7,0.0,0.0,0.059,0.0,0.089,0.2,0.2,0.021,22.2,0.0,0.0,0.016,25.0,0.1,0.2,13.2,0.041,35.3,419.0,0.019,0.2,56.2,440.926,17.63704,0.16,0.8,0.14400000000000002,432.2,17.288,0.8888888888888888,0.25
drumstick leaves cooked,25,0.4,0.0,0.0,0.0,4.7,0.4,2.2,0.8,0.0,0.1,34.3,0.0,0.041,0.091,0.0,0.2,0.8,0.007,0.4,13.0,0.0,0.084,0.085,63.4,0.004,1.0,63.4,0.4,28.1,144.5,0.042,0.2,85.5,215.6,8.624,0.35200000000000004,0.752,0.14400000000000002,207.9,8.316,2.0,0.0
winter squash raw,39,0.2,0.019,0.089,0.086,10.0,2.6,1.1,1.7,0.0,0.027,104.1,0.0,0.054,0.08,0.0,0.001,0.6,0.2,0.2,14.3,0.0,0.1,0.021,32.5,0.051,0.7,16.2,0.2,26.7,406.0,0.049,0.2,60.5,435.194,11.158820512820514,0.11282051282051284,1.0256410256410255,0.046153846153846156,422.2,10.825641025641024,0.6538461538461539,0.09499999999999999
pumpkin raw,30,0.1,0.065,0.044,0.004,7.5,3.2,1.2,0.6,0.0,0.062,106.3,0.0,0.009,0.036,0.0,0.1,0.7,0.3,0.071,10.4,0.0,1.2,0.012,24.4,0.1,0.9,13.9,0.1,51.0,394.4,0.093,0.4,45.1,417.71299999999997,13.923766666666666,0.16,1.0,0.030000000000000002,408.29999999999995,13.609999999999998,0.18749999999999997,0.65
radish pickled,42,0.5,0.1,0.068,0.2,7.8,3.0,1.7,3.3,0.0,1.2,137.3,0.0,0.054,0.001,0.0,0.021,0.5,0.3,0.2,0.0,0.0,0.0,0.008,42.0,0.3,0.3,12.0,0.072,46.5,499.5,0.054,0.3,55.6,524.668,12.492095238095239,0.1619047619047619,0.7428571428571429,0.10714285714285714,511.5,12.178571428571429,1.0999999999999999,0.2
crookneck squash raw,24,0.3,0.1,0.057,0.1,4.9,4.5,1.3,1.3,0.0,0.047,119.7,0.0,0.085,0.076,0.0,0.079,0.6,0.2,0.1,24.5,0.0,0.2,0.097,26.7,0.1,0.6,25.4,0.2,40.6,281.9,0.094,0.4,59.6,315.05699999999996,13.127374999999999,0.21666666666666667,0.8166666666666668,0.11249999999999999,307.29999999999995,12.804166666666665,0.2888888888888889,0.33333333333333337
crookneck squash cooked,34,0.7,0.1,0.089,0.2,6.8,4.5,1.9,2.0,0.0,0.4,169.7,0.0,0.072,0.014,0.0,0.049,0.9,0.6,0.1,20.9,0.0,0.2,0.002,39.6,0.1,0.7,28.8,0.3,52.2,318.6,0.059,0.4,72.6,358.48900000000003,10.54379411764706,0.22352941176470587,0.7999999999999999,0.18529411764705883,347.40000000000003,10.21764705882353,0.4444444444444444,0.14285714285714288
laver seaweed,1,0.012,0.066,0.045,0.052,0.1,0.071,0.2,0.09,0.0,0.075,2.2,0.0,0.005,0.089,0.0,0.096,0.057,0.068,0.013,1.0,0.0,0.062,0.052,1.8,0.073,0.087,0.049,0.021,1.5,9.3,0.08,0.09,3.176,9.902000000000001,9.902000000000001,0.8,0.4,0.108,9.349,9.349,1.267605633802817,5.5
mustard greens raw,15,0.2,0.072,0.071,0.035,2.6,0.7,1.6,1.8,0.0,0.004,50.8,0.0,0.088,0.026,0.0,0.097,0.4,0.1,0.1,39.2,0.0,1.1,0.1,64.4,0.018,0.9,17.9,0.0,32.5,215.0,0.076,0.1,110.7,239.078,15.938533333333334,0.4266666666666667,0.6933333333333334,0.12000000000000001,232.9,15.526666666666667,2.5714285714285716,0.35999999999999993
japanese cabbage,45,0.2,0.092,0.081,0.092,8.5,2.0,2.4,4.7,0.0,0.4,137.1,0.0,0.0,0.094,0.0,0.029,0.3,0.3,0.2,1.1,0.0,0.2,0.2,72.0,0.037,0.7,18.0,0.4,64.5,1279.5,0.008,0.3,89.6,1313.365,29.18588888888889,0.21333333333333332,0.7555555555555555,0.04,1297.5,28.833333333333332,2.35,0.45999999999999996
