Unnamed: 0.1,Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,PCA1,PCA2,Cluster
496,496,chinese cabbage pe tsai raw,12,0.2,0.033,0.087,0.004,2.5,1.1,0.9,0.9,0.0,0.049,71.7,0.0,0.068,0.05,0.0,0.028,0.3,0.055,0.2,20.5,0.0,0.003,0.088,58.5,0.074,0.2,9.9,0.1,22.0,180.9,0.03,0.2,83.7,-0.9924340194009255,-0.10553416768570484,1
497,497,taro raw,116,0.2,0.099,0.062,0.01,27.5,0.4,1.6,4.3,0.0,0.054,73.5,0.0,0.028,0.024,0.0,0.059,0.6,0.3,0.3,4.7,0.0,2.5,0.001,44.7,0.2,0.6,34.3,0.4,87.4,614.6,0.097,0.2,83.6,0.5189983786427793,-0.7859161299992573,1
498,498,yam bean jicama,49,0.1,0.061,0.088,0.093,11.5,2.3,0.9,6.4,0.0,0.047,117.1,0.0,0.075,0.061,0.0,0.017,0.3,0.2,0.02,26.3,0.0,0.6,0.019,15.6,0.061,0.8,15.6,0.012,23.4,195.0,0.045,0.2,61.6,-0.16713230857679073,-0.6194293588125338,1
499,499,olives,10,0.9,0.2,0.6,0.043,0.5,0.0,0.09,0.1,0.0,0.001,6.7,0.0,0.06,0.0,0.0,0.0,0.022,0.056,0.086,0.03,0.0,0.1,0.042,7.4,0.068,0.5,0.3,0.089,0.3,0.7,0.01,0.085,9.479,-1.3777044960055136,0.2309828998795666,1
500,500,mustard greens cooked,36,0.7,0.053,0.2,0.008,6.3,2.0,3.6,2.8,0.0,0.4,128.5,0.0,0.008,0.007,0.0,0.042,0.6,0.2,0.1,35.4,0.0,2.5,0.8,165.2,0.1,1.2,18.2,0.0,58.8,226.8,0.059,0.2,215.2,-0.42499800306655067,-0.4070160792534849,1
501,501,pumpkin flowers cooked,20,0.1,0.057,0.007,0.084,4.4,3.2,1.5,1.2,0.0,0.082,127.6,0.0,0.019,0.049,0.0,0.041,0.4,0.0,0.094,6.7,0.0,0.061,0.0,49.6,0.1,1.2,33.5,0.0,45.6,142.0,0.007,0.1,64.7,-0.6866786614731388,-0.2869680382801948,1
502,502,tree fern cooked,57,0.096,0.0,0.0,0.0,15.3,0.0,0.4,5.3,0.0,0.3,125.8,0.0,0.0,0.031,0.0,0.4,5.0,0.083,0.3,42.6,0.0,0.0,0.0,11.4,0.3,0.2,7.1,0.8,5.7,7.1,0.085,0.4,75.253,-0.5080334298616548,-0.33077034492595153,1
503,503,yellow corn raw,606,7.9,1.1,2.1,3.6,123.3,1.1,15.6,12.1,0.0,0.06,17.2,0.0,0.6,0.057,0.0,0.3,6.0,0.7,1.0,0.0,0.0,0.8,0.016,11.6,0.5,4.5,210.8,0.8,348.6,476.4,0.032,3.7,175.0,6.0555418614609655,-2.0802884376180324,0
504,504,endive,9,0.1,0.022,0.044,0.072,1.7,0.1,0.6,1.6,0.0,0.08,46.9,0.0,0.092,0.065,0.0,0.017,0.2,0.5,0.095,3.3,0.0,0.2,0.1,26.0,0.002,0.4,7.5,0.2,14.0,157.0,0.085,0.4,33.7,-1.0188461114935095,-0.1046201831099522,1
505,505,wakame,36,0.5,0.1,0.002,0.2,7.3,0.5,2.4,0.4,0.0,0.7,64.0,0.0,0.087,0.2,0.0,0.2,1.3,0.6,0.07,2.4,0.0,0.8,0.039,120.0,0.2,1.7,85.6,1.1,64.0,40.0,0.035,0.3,134.7,-0.3519927180204727,-0.3607471228443766,1
506,506,tahitian taro raw,55,1.2,0.2,0.022,0.5,8.6,0.0,3.5,0.0,0.0,0.003,110.0,0.0,0.079,0.029,0.0,0.3,1.2,0.2,0.1,120.0,0.0,0.0,0.0,161.3,0.061,1.6,58.8,0.2,56.3,757.5,0.044,0.1,296.2,0.13077835189278628,-0.6250210118881384,1
507,507,broccoli raw,31,0.3,0.053,0.028,0.015,6.0,1.5,2.6,2.4,0.0,0.049,81.3,0.0,0.0,0.088,0.085,0.0,0.1,0.6,0.5,0.2,81.2,0.0,0.7,0.092,42.8,0.016,0.7,19.1,0.2,60.1,287.6,0.036,11.548,-0.9417418661245643,-0.5721929939627032,1
508,508,sweet green peppers raw,30,0.3,0.053,0.043,0.037,6.9,3.6,1.3,2.5,0.0,0.023,139.9,0.0,0.013,0.011,0.0,0.068,0.7,0.1,0.3,119.8,0.0,0.6,0.083,14.9,0.035,0.5,14.9,0.2,29.8,260.8,0.0,0.2,146.2,-0.5556542586205939,-0.3829271415602126,1
