food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
lemon chicken,1440,74.9,12.2,16.4,36.7,122.0,55.2,68.6,7.0,203.8,1.5,363.6,0.099,0.3,0.069,0.028,0.4,23.3,3.1,1.5,15.9,0.045,8.1,0.2,248.4,0.2,8.4,95.6,0.6,821.7,987.4,0.001,3.2,545.212
general tsos chicken,1578,87.5,14.8,20.8,40.1,128.3,62.1,69.0,4.8,283.6,2.3,241.6,0.081,0.1,0.049,0.08,0.6,15.3,3.3,1.1,8.6,0.015,6.5,0.2,64.2,0.2,6.2,96.3,0.4,679.5,1075.4,0.065,7.0,368.673
eggnog,224,10.6,6.6,3.3,0.5,20.4,20.4,11.6,0.0,149.9,0.1,209.7,0.1,0.074,0.02,0.006,0.5,0.3,1.1,0.1,3.8,0.055,0.5,0.011,330.2,0.051,0.5,48.3,0.024,276.9,419.1,0.094,1.2,377.2
beer light,96,0.0,0.0,0.0,0.0,5.4,0.3,0.8,0.0,0.0,0.095,313.1,0.0,0.083,0.079,0.0,0.069,1.3,0.067,0.1,0.0,0.0,0.0,0.0,13.2,0.095,0.014,16.5,0.094,39.6,69.3,0.077,0.044,19.456
beer budweiser,12,0.0,0.0,0.0,0.0,0.9,0.0,0.1,0.0,0.0,0.095,27.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.095,0.0,2.1,0.038,3.8,9.7,0.0,0.0,2.2
weizenbier erdinger,220,18.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
beer light budweiser,9,0.0,0.0,0.0,0.0,0.4,0.0,0.066,0.0,0.0,0.016,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.088,0.0,2.1,0.007,3.2,7.7,0.0,0.0,1.32
beer,142,0.0,0.0,0.0,0.0,11.7,0.0,1.5,0.0,0.0,0.067,303.5,0.0,0.093,0.062,0.0,0.017,1.7,0.1,0.2,0.0,0.0,0.0,0.0,13.2,0.096,0.031,19.8,0.085,46.2,89.1,0.087,0.001,26.436
root beer,202,0.0,0.0,0.0,0.0,52.3,52.3,0.0,0.0,0.0,0.068,440.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.7,0.037,0.2,4.9,0.059,0.0,4.9,0.095,52.334
whiskey sour mix,26,0.072,0.069,0.034,0.012,6.3,6.3,0.051,0.0,0.0,0.073,23.1,0.0,0.089,0.0,0.0,0.07,0.0,0.032,0.0,0.8,0.0,0.0,0.0,0.6,0.0,0.047,0.3,0.0,1.8,8.3,0.015,0.08,7.914
