food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,Total_Nutrition,Nutrition_Density,Protein_Ratio,Carbohydrate_Ratio,Fat_Ratio,Micronutrient_Sum,Nutrient_to_Calorie,Fiber_to_Sugar_Ratio,Saturated_Fat_Ratio,PCA1,PCA2,Cluster
daiquiri,112,0.036,0.063,0.038,0.012,4.2,3.3,0.035,0.001,0.0,0.008,41.8,0.0,0.021,0.047,0.0,0.065,0.022,0.074,0.003,1.0,0.0,0.092,0.009,1.8,0.098,0.033,1.2,0.04,3.0,12.6,0.04,0.091,7.243,18.149,0.16204464285714287,0.00125,0.15,0.0028928571428571423,13.799999999999999,0.1232142857142857,0.00030303030303030303,1.7500000000000002,-1.1222925647492084,1.112691994478629,1
pina colada,245,2.7,2.3,0.1,0.035,32.0,31.5,0.6,0.4,0.0,0.089,91.6,0.0,0.0,0.038,0.038,0.0,0.002,0.2,0.01,0.019,6.9,0.0,0.056,0.08,11.3,0.1,0.3,11.3,0.7,9.9,100.1,0.064,35.877,52.53499999999999,0.21442857142857139,0.009795918367346938,0.5224489795918368,0.09918367346938776,17.1,0.06979591836734694,0.012698412698412698,0.8518518518518517,-0.2957451384686482,0.5924644914983331,1
vodka smirnoff,13,0.4,0.013,0.077,0.073,2.0,0.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,2.163,0.16638461538461538,0.0,0.6153846153846154,0.27692307692307694,0.0,0.0,0.0,0.032499999999999994,-1.4372134877059468,1.051923357441648,1
coffee liqueur,96,0.038,0.096,0.03,0.042,13.8,13.7,0.041,0.0,0.0,0.093,9.1,0.0,0.042,0.0,0.0,0.075,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.019,0.02,0.9,0.011,1.8,8.9,0.053,0.097,14.241,23.809,0.24801041666666668,0.0017083333333333334,0.5750000000000001,0.0035624999999999997,9.8,0.10208333333333335,0.0,2.5263157894736845,-1.1749663069350085,0.4995016999575644,1
chocolate frosting,81,3.6,1.1,1.8,0.5,13.0,11.8,0.2,0.2,0.0,0.025,3.5,0.0,0.026,0.069,0.0,0.097,0.024,0.005,0.085,0.0,0.0,0.3,0.0,1.6,0.045,0.3,4.3,0.064,16.2,40.2,0.094,0.062,18.9,61.3,0.7567901234567901,0.009876543209876543,0.6419753086419753,0.39999999999999997,44.5,0.5493827160493827,0.01694915254237288,0.3055555555555556,-0.8068882148927929,1.0510875360021397,1
agave syrup,21,0.081,0.0,0.0,0.0,5.3,4.7,0.025,0.01,0.0,0.09,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088,0.071,0.042,0.034,0.049,0.009,0.3,0.0,0.008,5.456,5.669,0.26995238095238094,0.004761904761904762,1.0095238095238095,0.03471428571428571,0.33399999999999996,0.015904761904761904,0.002127659574468085,0.0,-1.6836711298584213,0.12658033666762827,1
vanilla extract,12,0.069,0.003,0.06,0.001,0.5,0.5,0.0,0.0,0.0,0.061,2.2,0.0,0.041,0.0,0.0,0.083,0.002,0.039,0.079,0.0,0.0,0.0,0.0,0.5,0.03,0.019,0.5,0.066,0.3,6.2,0.0,0.065,1.213,7.264,0.6053333333333334,0.0,0.16666666666666666,0.05175,6.7,0.5583333333333333,0.0,0.043478260869565216,-1.3741283802709647,1.141542934307553,1
egg yolk dried,27,2.3,0.7,0.9,0.4,0.054,0.002,1.3,0.0,92.3,0.071,0.1,0.01,0.041,0.036,0.092,0.025,0.065,0.4,0.078,0.0,0.065,0.2,0.074,12.3,0.015,0.4,1.0,0.071,41.6,10.6,0.098,0.3,16.368,15.019,0.5562592592592592,0.1925925925925926,0.008,0.7666666666666666,11.665,0.432037037037037,0.0,0.30434782608695654,-0.6839945950117821,2.495347832294652,1
baking chocolate,145,15.2,9.4,4.7,0.5,8.7,0.3,3.7,4.8,0.0,0.049,0.4,0.0,0.023,0.098,0.0,0.002,0.4,0.088,0.015,0.0,0.0,0.1,0.097,29.3,0.9,5.0,94.8,1.2,116.0,240.7,0.072,2.8,66.7,367.29999999999995,2.533103448275862,0.10206896551724139,0.24,0.9434482758620688,335.5,2.3137931034482757,16.0,0.618421052631579,1.0518758629153397,1.6426144012830652,1
fondant,106,0.009,0.0,0.0,0.0,26.4,25.2,0.0,0.0,0.0,0.022,1.9,0.0,0.062,0.0,0.0,0.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.095,0.09,0.0,0.0,0.0,1.1,0.045,0.037,27.396,27.5,0.25943396226415094,0.0,0.9962264150943396,0.0007641509433962263,1.1,0.010377358490566039,0.0,0.0,-1.1132270715007755,-0.10391762031966899,1
maple sugar,42,0.061,0.076,0.037,0.09,10.9,10.2,0.036,0.0,0.0,0.031,1.0,0.0,0.016,0.0,0.0,0.021,0.015,0.032,0.04,0.0,0.0,0.0,0.0,10.8,0.024,0.2,2.3,0.5,0.4,32.9,0.03,0.7,21.961,46.339,1.1033095238095239,0.0034285714285714284,1.0380952380952382,0.01307142857142857,35.199999999999996,0.838095238095238,0.0,1.2459016393442623,-1.5648034556594066,-0.18265269669175818,1
egg white raw,17,0.063,0.0,0.0,0.0,0.2,0.2,3.6,0.0,0.0,0.038,28.9,0.0,0.099,0.024,0.041,0.1,0.089,0.055,0.043,0.0,0.0,0.0,0.0,2.3,0.075,0.045,3.6,0.039,5.0,53.8,0.017,0.001,6.196,61.199999999999996,3.5999999999999996,0.8470588235294118,0.047058823529411764,0.033352941176470585,57.4,3.376470588235294,0.0,0.0,-1.1357140886412798,0.3656893160692842,1
vanilla frosting,1931,75.0,13.7,22.5,36.7,313.7,291.5,0.0,0.0,0.0,0.9,69.6,0.0,0.046,0.026,0.0,1.4,1.0,0.3,0.0,0.0,0.0,7.1,0.032,13.9,0.0,0.7,4.6,0.0,83.2,157.1,0.029,0.3,403.3,548.3,0.28394614189539097,0.0,0.6498187467633351,0.34955981356809945,161.7,0.08373899533920248,0.0,0.18266666666666664,13.289551150284225,0.3590534877858739,2
egg raw,80,5.3,1.8,2.0,1.1,0.4,0.2,7.0,0.0,208.3,0.08,42.6,0.066,0.011,0.048,0.013,0.3,0.018,0.9,0.099,0.0,0.038,0.6,0.016,31.4,0.071,1.0,6.7,0.057,110.9,77.3,0.023,0.7,45.156,96.338,1.2042249999999999,0.35,0.02,0.59625,84.038,1.050475,0.0,0.339622641509434,-0.24714256949631996,2.0259919238318993,1
pineapple topping,860,0.3,0.066,0.1,0.2,225.8,71.4,0.3,1.4,0.0,0.1,112.2,0.0,0.1,0.026,0.0,0.008,0.3,0.059,0.012,10.5,0.0,0.054,0.032,20.4,0.2,0.4,20.4,0.2,10.2,146.2,0.026,0.2,259.1,394.466,0.45868139534883723,0.0013953488372093023,1.0502325581395349,0.00313953488372093,166.6,0.19372093023255813,0.019607843137254898,0.22000000000000003,3.0969759884234187,-1.8476472331357523,1
egg yolk raw,55,4.5,1.6,2.0,0.7,0.6,0.08,2.7,0.0,184.5,0.006,8.9,0.009,0.014,0.04,0.098,0.064,0.042,0.5,0.061,0.0,0.078,0.4,0.034,21.9,0.069,0.5,0.9,0.013,66.3,18.5,0.039,0.4,30.27,27.078000000000003,0.4923272727272728,0.19636363636363638,0.04363636363636363,0.7363636363636363,19.478,0.3541454545454546,0.0,0.35555555555555557,-0.47632413177557587,2.476670653395586,1
egg dried,30,2.2,0.7,0.9,0.3,0.047,0.05,2.4,0.0,81.5,0.06,0.2,0.044,0.026,0.016,0.09,0.02,0.079,0.3,0.075,0.0,0.027,0.1,0.075,11.8,0.017,0.2,1.7,0.063,31.5,27.0,0.017,0.2,16.62,33.074,1.1024666666666667,0.32,0.006266666666666667,0.66,28.727,0.9575666666666667,0.0,0.3181818181818181,-0.6943167916097184,2.159041740032086,1
strawberry topping,53,0.096,0.071,0.083,0.063,13.9,5.7,0.014,0.1,0.0,0.099,6.9,0.0,0.077,0.03,0.0,0.051,0.049,0.063,0.024,2.9,0.0,0.079,0.029,1.3,0.078,0.014,0.8,0.002,1.1,10.7,0.005,0.079,18.34,25.731,0.4854905660377359,0.0010566037735849057,1.049056603773585,0.01630188679245283,11.5,0.2169811320754717,0.017543859649122806,0.7395833333333333,-1.5457355176564915,-0.05857519417231129,1
almond paste,1040,63.0,6.0,40.9,13.2,108.5,82.3,20.4,10.9,0.0,0.051,32.0,0.0,0.2,0.2,0.0,0.9,3.2,0.3,0.051,0.2,0.0,30.7,0.0,390.4,1.0,3.6,295.1,1.9,585.7,712.8,0.037,3.4,597.0,1207.8,1.1613461538461538,0.07846153846153846,0.4173076923076923,0.5451923076923076,1007.9,0.9691346153846153,0.13244228432563793,0.09523809523809523,9.149692519241265,0.10792170419785016,2
egg substitute powder,126,3.7,1.1,1.5,0.5,6.2,6.2,15.7,0.0,161.9,0.2,1.1,0.1,0.006,0.017,0.049,0.5,0.2,1.0,0.074,0.2,0.0,0.4,0.025,92.3,0.017,0.9,18.4,0.045,135.3,210.6,0.032,0.5,119.1,254.0,2.015873015873016,0.49841269841269836,0.19682539682539682,0.26428571428571435,229.0,1.8174603174603174,0.0,0.2972972972972973,0.0034293009066109497,0.7719357237659986,1
tapioca pearls,544,0.093,0.075,0.088,0.057,134.8,5.1,0.3,1.4,0.0,0.077,16.7,0.0,0.016,0.001,0.0,0.0,0.0,0.2,0.091,0.0,0.0,0.0,0.0,30.4,0.021,2.4,1.5,0.2,10.6,16.7,0.007,0.2,169.318,154.92,0.28477941176470584,0.0022058823529411764,0.9911764705882353,0.0015386029411764706,18.2,0.033455882352941176,0.27450980392156865,0.8064516129032258,0.737965126402132,-0.8056865615243957,1
egg boiled,93,6.4,2.0,2.4,0.8,0.7,0.7,7.5,0.0,223.8,0.042,44.8,0.04,0.069,0.072,0.015,0.3,0.038,0.8,0.056,0.0,0.019,0.6,0.069,30.0,0.009,0.7,6.0,0.004,103.2,75.6,0.062,0.6,45.338,95.01899999999999,1.0217096774193548,0.3225806451612903,0.03010752688172043,0.6193548387096774,81.619,0.8776236559139785,0.0,0.3125,-0.18338359700644674,2.104656309259294,1
millet flour,444,5.1,0.6,1.1,3.1,86.9,2.0,12.8,4.2,0.0,0.056,12.8,0.0,0.5,0.032,0.0,0.01,7.2,1.5,0.4,0.0,0.0,0.1,0.037,16.7,0.6,4.7,141.6,1.2,339.2,266.6,0.028,3.1,130.4,516.9,1.1641891891891891,0.11531531531531532,0.7828828828828829,0.10337837837837838,408.20000000000005,0.9193693693693695,2.1,0.11764705882352941,1.8453727928994308,-1.124844813077166,1
corn flour white,414,4.2,0.6,1.1,2.0,87.3,1.8,9.6,7.3,0.0,0.036,11.2,0.0,0.3,0.078,0.0,0.1,1.9,0.2,0.5,0.0,0.0,0.1,0.0,157.3,0.2,1.7,106.0,0.5,263.3,298.7,0.072,2.1,267.4,512.5999999999999,1.2381642512077293,0.0927536231884058,0.8434782608695652,0.09130434782608697,404.7,0.9775362318840579,4.055555555555555,0.14285714285714285,1.5530013538340386,-1.3215098110900996,1
rice flour brown,574,4.4,0.9,1.6,1.6,120.8,1.3,11.4,7.3,0.0,0.039,18.9,0.0,0.7,0.056,0.0,0.1,10.0,2.5,1.2,0.0,0.0,1.9,0.0,17.4,0.4,3.1,177.0,6.3,532.5,456.6,0.0,3.9,164.4,777.2,1.3540069686411151,0.0794425087108014,0.8418118466898955,0.06898954703832753,633.6,1.1038327526132405,5.615384615384615,0.20454545454545453,2.6823869822452826,-1.9822167412877663,0
sorghum flour,437,4.0,0.6,1.1,1.7,93.7,2.3,9.5,8.0,0.0,0.023,12.2,0.0,0.3,0.058,0.0,0.014,6.3,1.1,0.4,0.0,0.0,0.6,0.079,14.5,0.3,3.6,145.2,1.5,348.5,376.3,0.026,1.7,133.3,636.0999999999999,1.4556064073226542,0.08695652173913043,0.8576659038901602,0.08237986270022883,521.5,1.1933638443935928,3.4782608695652177,0.15,1.881030706051262,-1.6952758193320725,0
cornmeal whole grain,442,4.4,0.6,1.2,2.0,93.8,0.8,9.9,8.9,0.0,0.022,12.5,0.0,0.5,0.034,0.0,0.2,4.4,0.5,0.4,0.0,0.0,0.5,0.059,7.3,0.2,4.2,154.9,0.6,294.0,350.1,0.004,2.2,128.5,621.4000000000001,1.4058823529411766,0.08959276018099548,0.848868778280543,0.08959276018099548,505.0,1.1425339366515836,11.125,0.13636363636363635,2.0012020238071457,-1.75422220384815,0
cornmeal white,581,2.7,0.3,0.5,1.0,124.7,2.5,11.2,6.1,0.0,0.094,17.6,0.0,0.2,0.089,0.0,0.016,1.6,0.4,0.3,0.0,0.0,0.2,0.0,4.7,0.1,1.7,50.2,0.3,155.4,222.9,0.03,1.0,151.1,416.9,0.7175559380378657,0.07710843373493975,0.8585197934595525,0.041824440619621345,273.1,0.4700516351118761,2.44,0.1111111111111111,1.8165030630472214,-1.2592187142842228,1
barley flour,511,2.4,0.5,0.3,1.1,110.3,1.2,15.5,14.9,0.0,0.062,17.9,0.0,0.5,0.021,0.0,0.2,9.3,0.2,0.6,0.0,0.0,0.8,0.069,47.4,0.5,4.0,142.1,1.5,438.1,457.3,0.037,3.0,194.5,742.0,1.452054794520548,0.12133072407045009,0.8634050880626223,0.04227005870841487,599.4,1.1729941291585126,12.416666666666668,0.20833333333333334,2.6249836816919356,-2.4545789118404486,0
whole grain wheat flour,408,3.0,0.5,0.3,1.4,86.4,0.5,15.9,12.8,0.0,0.027,12.9,0.0,0.6,0.066,0.0,0.2,5.9,0.7,0.5,0.0,0.0,0.9,0.025,40.8,0.5,4.3,164.4,4.9,428.4,435.6,0.045,3.1,163.2,717.3000000000001,1.7580882352941178,0.15588235294117647,0.8470588235294119,0.0661764705882353,600.0,1.4705882352941178,25.6,0.16666666666666666,2.225628232123884,-2.3098366330580116,0
corn flour yellow,422,4.5,0.6,1.2,2.1,89.9,0.7,8.1,8.5,0.0,0.04,12.8,0.0,0.3,0.04,0.0,0.036,2.2,0.8,0.4,0.0,0.0,0.5,0.006,8.2,0.3,2.8,108.8,0.5,318.2,368.6,0.012,2.0,122.0,587.8,1.3928909952606634,0.07677725118483412,0.852132701421801,0.09597156398104266,477.40000000000003,1.1312796208530806,12.142857142857144,0.13333333333333333,1.6564627748612555,-1.5233390729478506,1
corn flour whole grain,422,4.5,0.6,1.2,2.1,89.9,0.7,8.1,8.5,0.0,0.033,12.8,0.0,0.3,0.021,0.0,0.035,2.2,0.8,0.4,0.0,0.0,0.5,0.071,8.2,0.3,2.8,108.8,0.5,318.2,368.6,0.045,2.0,122.0,587.8,1.3928909952606634,0.07677725118483412,0.852132701421801,0.09597156398104266,477.40000000000003,1.1312796208530806,12.142857142857144,0.13333333333333333,1.6564627748612555,-1.5233390729478506,1
rice flour white,578,2.2,0.6,0.7,0.6,126.6,0.2,9.4,3.8,0.0,0.0,18.8,0.0,0.2,0.058,0.0,0.014,4.1,1.3,0.7,0.0,0.0,0.2,0.0,15.8,0.2,0.6,55.3,1.9,154.8,120.1,0.062,1.3,158.4,317.1,0.5486159169550173,0.06505190311418685,0.8761245674740484,0.034256055363321804,175.39999999999998,0.30346020761245673,18.999999999999996,0.2727272727272727,1.5902291225852971,-1.1200795008484978,1
potato flour,571,0.5,0.1,0.063,0.2,133.0,5.6,11.0,9.4,0.0,0.042,10.4,0.0,0.0,0.4,0.043,0.0,0.06,5.6,0.8,1.2,6.1,0.0,0.4,0.0,104.0,0.3,2.2,104.0,0.5,268.8,1601.6,0.031,155.4,430.86299999999994,0.7545761821366024,0.07705779334500876,0.9316987740805605,0.00788091068301226,277.1,0.48528896672504385,1.6785714285714288,0.2,1.6911760588085663,-1.578861219172628,1
cornmeal yellow,581,2.7,0.3,0.5,1.0,124.7,2.5,11.2,6.1,0.0,0.011,17.6,0.0,0.2,0.072,0.0,0.085,1.6,0.4,0.3,0.0,0.0,0.2,0.0,4.7,0.1,1.7,50.2,0.3,155.4,222.9,0.069,1.0,151.1,416.9,0.7175559380378657,0.07710843373493975,0.8585197934595525,0.041824440619621345,273.1,0.4700516351118761,2.44,0.1111111111111111,1.8165030630472214,-1.2592187142842228,1
rye flour,364,1.4,0.2,0.2,0.6,78.2,0.9,10.0,8.2,0.0,0.061,11.6,0.0,0.3,0.047,0.0,0.068,0.8,0.7,0.2,0.0,0.0,0.8,0.079,13.3,0.2,0.9,32.6,1.2,132.6,228.5,0.07,1.4,112.0,358.5,0.9848901098901099,0.10989010989010989,0.8593406593406594,0.03461538461538462,261.1,0.7173076923076924,9.11111111111111,0.14285714285714288,0.8251166125808407,-1.1499839543000807,1
chickpea flour,356,6.2,0.6,1.4,2.7,53.2,10.0,20.6,9.9,0.0,0.05,9.5,0.0,0.4,0.4,0.0,0.037,1.6,0.6,0.5,0.0,0.0,0.8,0.003,41.4,0.8,4.5,152.7,1.5,292.6,778.3,0.079,2.6,135.8,1019.4,2.8634831460674155,0.2314606741573034,0.597752808988764,0.15674157303370786,931.0,2.615168539325843,0.99,0.0967741935483871,2.380214787285572,-1.818182092011667,0
wheat flour,455,1.2,0.2,0.1,0.5,95.4,0.3,12.9,3.4,0.0,0.061,14.9,0.0,1.0,0.2,0.0,0.6,7.4,0.5,0.001,0.0,0.0,0.095,0.051,18.8,0.2,5.8,27.5,0.9,135.0,133.8,0.023,0.9,137.5,273.8,0.6017582417582418,0.11340659340659341,0.8386813186813187,0.023736263736263735,161.3,0.3545054945054945,11.333333333333334,0.16666666666666669,0.9714372878039703,-0.8237827116576854,1
carob flour,13,0.061,0.041,0.088,0.052,5.3,2.9,0.3,2.4,0.0,0.033,0.2,0.0,0.09,0.007,0.0,0.079,0.1,0.038,0.029,0.088,0.0,0.046,0.0,20.9,0.088,0.2,3.2,0.019,4.7,49.6,0.087,0.087,29.18,60.981,4.690846153846154,0.0923076923076923,1.6307692307692307,0.042230769230769225,52.800000000000004,4.061538461538462,0.8275862068965517,0.6721311475409837,-2.033336780044068,-1.6159142491208631,1
buckwheat flour,402,3.7,0.8,1.1,1.1,84.7,3.1,15.1,12.0,0.0,0.033,13.4,0.0,0.5,0.035,0.0,0.2,7.4,0.5,0.7,0.0,0.0,0.4,0.044,49.2,0.6,4.9,301.2,2.4,404.4,692.4,0.04,3.7,169.6,1108.4,2.757213930348259,0.15024875621890546,0.8427860696517413,0.0828358208955224,993.5999999999999,2.471641791044776,3.8709677419354835,0.21621621621621623,2.9453684880049016,-3.023357306303642,0
vanilla wafer pie crust,935,63.7,13.1,27.5,18.8,88.4,12.9,6.5,0.2,68.6,0.9,15.0,0.4,0.3,0.071,0.081,0.4,3.7,0.5,0.082,0.2,0.059,5.4,0.028,73.9,0.1,2.9,17.6,0.3,137.3,139.0,0.009,0.4,236.2,311.159,0.3327903743315508,0.027807486631016044,0.37818181818181823,0.6131550802139039,156.659,0.16754973262032086,0.015503875968992248,0.20565149136577707,5.646403000086719,2.9656812548897302,2
chocolate pie crust,881,40.8,8.6,26.4,3.7,117.4,47.9,11.1,4.9,0.0,0.9,9.1,0.0,0.6,0.1,0.0,0.5,5.6,0.3,0.049,0.0,0.0,3.3,0.078,58.2,1.4,7.8,72.8,3.3,218.4,340.3,0.033,3.8,240.2,585.2,0.664245175936436,0.05039727582292849,0.5330306469920545,0.41679909194097614,413.1,0.46889897843359823,0.10229645093945722,0.2107843137254902,5.254014020619299,0.8199592642767533,2
apple strudel,195,8.0,1.5,2.3,3.8,29.2,18.3,2.3,1.6,4.3,0.02,30.9,0.011,0.087,0.082,0.009,0.016,0.2,0.2,0.031,1.2,0.0,1.0,0.002,10.7,0.092,0.3,6.4,0.1,23.4,105.8,0.034,0.1,53.359,152.89999999999998,0.784102564102564,0.047179487179487174,0.5989743589743589,0.36923076923076925,112.2,0.5753846153846154,0.08743169398907104,0.1875,0.15217096035469407,0.8810369582901019,1
chocolate snack cake,200,8.0,2.4,4.3,0.9,30.2,18.9,1.8,1.6,0.0,0.2,9.3,0.001,0.051,0.079,0.011,0.013,0.5,0.067,0.068,1.0,0.0,0.5,0.08,58.0,0.2,1.8,18.0,0.2,43.5,88.0,0.006,0.5,102.459,147.2,0.736,0.036000000000000004,0.604,0.36,106.0,0.53,0.08465608465608467,0.3,0.11228891657668195,0.8591553542214103,1
fruit fried pie,404,20.6,3.1,9.5,6.9,54.5,27.4,3.8,3.3,0.0,0.4,48.1,0.065,0.2,0.046,0.074,0.1,1.8,0.1,0.019,1.7,0.0,2.2,0.035,28.2,0.094,1.6,12.8,0.3,55.0,83.2,0.094,0.3,113.776,177.1,0.43836633663366337,0.03762376237623762,0.5396039603960396,0.45891089108910893,96.0,0.2376237623762376,0.12043795620437957,0.15048543689320387,1.8420064668921667,1.2557014118576215,1
corn cake,35,0.2,0.019,0.032,0.098,7.5,2.1,0.7,0.2,0.0,0.01,0.4,0.013,0.057,0.084,0.0,0.084,0.5,0.023,0.074,0.0,0.0,0.0,0.0,1.7,0.04,0.1,10.3,0.2,14.1,14.1,0.082,0.2,10.437,32.949,0.9413999999999999,0.08,0.8571428571428571,0.05142857142857143,24.4,0.6971428571428571,0.09523809523809523,0.09499999999999999,-1.4953025021163695,0.1220900436742562,1
sponge snack cake,157,4.8,1.7,2.1,0.8,26.9,15.7,1.5,0.4,17.2,0.2,8.2,0.095,0.091,0.096,0.034,0.022,0.7,0.06,0.0,0.089,0.098,0.3,0.011,10.1,0.06,0.6,3.4,0.1,77.7,29.8,0.029,0.3,44.404,66.698,0.424828025477707,0.03821656050955414,0.6853503184713375,0.2751592356687898,33.298,0.21208917197452232,0.025477707006369428,0.3541666666666667,-0.43950435421536116,0.7836316823759709,1
danish pastry with nuts,280,16.4,3.8,8.9,2.8,29.7,16.8,4.6,1.3,29.9,0.2,13.3,0.054,0.1,0.091,0.088,0.2,1.5,0.5,0.062,1.1,0.0,0.5,0.018,61.1,0.1,1.2,20.8,0.5,71.5,61.8,0.062,0.6,115.451,133.7,0.4775,0.06571428571428571,0.42428571428571427,0.5271428571428571,82.6,0.295,0.07738095238095238,0.23170731707317074,0.976781876777683,1.67028037441746,1
cheesecake,257,18.0,7.9,6.9,1.3,20.4,17.4,4.4,0.3,44.0,0.4,36.5,0.1,0.061,0.011,0.03,0.2,0.2,0.5,0.1,0.3,0.078,0.4,0.093,40.8,0.039,0.5,8.8,0.1,74.4,72.0,0.079,0.4,84.8,122.078,0.47501167315175097,0.06848249027237355,0.3175097276264591,0.6303501945525292,80.878,0.3147003891050584,0.017241379310344827,0.4388888888888889,0.8388693616468761,2.1532802309859753,1
fruitcake,139,3.9,0.5,1.8,1.4,26.5,11.8,1.2,1.6,2.2,0.013,10.9,0.06,0.004,0.063,0.0,0.063,0.3,0.015,0.008,0.2,0.0,0.4,0.032,14.2,0.082,0.9,6.9,0.067,22.4,65.8,0.033,0.1,48.507,105.69999999999999,0.760431654676259,0.034532374100719423,0.762589928057554,0.2525179856115108,72.7,0.5230215827338129,0.13559322033898305,0.12820512820512822,-0.5250150533707376,0.4607130258982153,1
egg custard,293,12.9,6.1,3.9,1.2,31.0,31.0,14.2,0.0,236.9,0.2,222.4,0.1,0.1,0.025,0.081,0.7,0.3,1.6,0.1,0.0,0.0,0.6,0.097,301.7,0.031,1.0,31.0,0.07,318.7,417.4,0.016,1.5,360.9,504.79999999999995,1.7228668941979521,0.19385665529010238,0.4232081911262799,0.39624573378839595,448.4,1.5303754266211604,0.0,0.4728682170542635,1.3310533716935378,0.7012247756334495,1
mince pie,477,17.8,4.4,7.7,4.7,79.2,46.7,4.3,4.3,0.0,0.4,61.7,0.0,0.2,0.074,0.0,0.2,2.0,0.2,0.1,9.7,0.0,0.2,0.071,36.3,0.2,2.5,23.1,0.4,69.3,335.0,0.099,0.4,154.1,462.70000000000005,0.970020964360587,0.03605870020964361,0.6641509433962265,0.3358490566037736,358.1,0.7507337526205451,0.09207708779443254,0.24719101123595508,2.3535770870790884,0.21056595045679047,1
yellow cake with chocolate frosting,546,25.6,8.3,10.4,6.8,79.7,56.5,4.6,2.2,23.0,0.4,32.2,0.0,0.032,0.0,0.0,0.1,1.2,0.2,0.0,0.0,0.0,6.5,0.089,46.1,0.2,2.9,28.8,0.3,198.7,269.3,0.084,0.6,161.1,410.1,0.7510989010989011,0.0336996336996337,0.5838827838827839,0.421978021978022,298.1,0.545970695970696,0.03893805309734514,0.32421875,3.0890549905227647,0.8973808301470148,2
white cake with coconut frosting,399,11.5,4.4,4.1,2.4,70.8,64.3,4.9,1.1,1.1,0.3,23.2,0.015,0.1,0.058,0.091,0.2,1.2,0.2,0.026,0.1,0.047,0.1,0.019,100.8,0.031,1.3,13.4,0.3,78.4,110.9,0.093,0.4,190.574,212.04700000000003,0.5314461152882206,0.04912280701754387,0.7097744360902255,0.2593984962406015,124.34700000000001,0.3116466165413534,0.017107309486780718,0.3826086956521739,1.5523657450934243,0.32669338647861473,1
graham cracker pie crust,917,45.4,9.1,31.0,3.1,117.7,33.2,9.3,3.5,0.0,0.9,8.0,0.0,0.3,0.1,0.0,0.4,5.9,0.3,0.1,0.0,0.0,3.4,0.058,53.1,0.4,4.8,42.1,2.4,214.1,206.8,0.039,2.3,233.8,422.6,0.4608505997818975,0.040567066521264995,0.5134133042529989,0.44558342420937835,248.9,0.2714285714285714,0.10542168674698794,0.20044052863436124,5.076050293520096,1.458083009226691,2
pie crust,121,8.0,2.0,3.5,2.1,10.9,0.045,1.5,0.4,0.0,0.1,2.3,0.0,0.004,0.004,0.0,0.088,0.8,0.048,0.075,0.0,0.0,0.033,0.038,2.3,0.079,0.7,3.2,0.061,15.4,15.4,0.096,0.1,23.8,39.0,0.32231404958677684,0.049586776859504134,0.3603305785123967,0.5950413223140496,18.6,0.15371900826446283,8.88888888888889,0.25,-0.29521875778198425,1.9240604004173374,1
chocolate cake with chocolate frosting,537,27.7,8.2,10.1,6.4,72.9,55.1,4.8,3.0,30.4,0.5,30.4,0.095,0.0,0.098,0.0,0.061,1.1,0.3,0.0,0.1,0.0,6.0,0.02,41.4,0.3,4.2,42.8,0.5,189.1,372.6,0.084,0.8,154.164,520.8,0.9698324022346367,0.035754189944134075,0.5430167597765364,0.4642458100558659,415.40000000000003,0.7735567970204842,0.0544464609800363,0.296028880866426,3.1483274882477557,0.8066691798671739,2
vanilla cream pie,350,18.1,5.1,7.6,4.3,41.1,16.0,6.0,0.8,78.1,0.3,59.2,0.1,0.2,0.064,0.086,0.3,1.2,0.5,0.006,0.6,0.076,0.6,0.01,113.4,0.018,1.3,16.4,0.2,131.0,158.8,0.024,0.7,181.4,240.17600000000002,0.6862171428571429,0.06857142857142857,0.46971428571428575,0.46542857142857147,175.276,0.5007885714285715,0.05,0.2817679558011049,1.343794062704079,1.4100230068622375,1
peach pie,262,11.7,1.8,5.0,4.4,38.5,19.0,2.2,0.9,0.0,0.3,63.6,0.06,0.025,0.089,0.0,0.082,0.2,0.1,0.047,1.1,0.0,1.1,0.023,9.4,0.082,0.6,7.0,0.2,25.7,146.3,0.025,0.1,64.447,206.10000000000002,0.7866412213740459,0.03358778625954199,0.5877862595419847,0.4019083969465649,153.3,0.585114503816794,0.04736842105263158,0.15384615384615385,0.6049959299892459,1.0187545189211507,1
