food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,Total_Nutrition,Nutrition_Density,Protein_Ratio,Carbohydrate_Ratio,Fat_Ratio,Micronutrient_Sum,Nutrient_to_Calorie,Fiber_to_Sugar_Ratio,Saturated_Fat_Ratio,PCA1,PCA2,Cluster
apple butter,35,0.063,0.038,0.066,0.064,8.5,7.1,0.045,0.3,0.0,0.003,11.3,0.0,0.078,0.02,0.0,0.053,0.092,0.005,0.057,0.1,0.0,0.06,0.075,2.8,0.085,0.025,0.8,0.093,1.6,18.2,0.078,0.095,11.836,28.013,0.8003714285714286,0.005142857142857143,0.9714285714285714,0.0162,19.0,0.5428571428571428,0.04225352112676056,0.6031746031746031,-1.58256049868609,-0.014775268707757513,1
fruit jam,56,0.095,0.021,0.065,0.0,13.8,9.7,0.0,0.2,0.0,0.052,6.1,0.0,0.083,0.076,0.0,0.024,0.07,0.045,0.037,1.8,0.0,0.062,0.0,4.0,0.022,0.07,0.8,0.002,3.8,15.4,0.054,0.03,19.919,30.286,0.5408214285714286,0.0,0.9857142857142858,0.015267857142857142,16.2,0.28928571428571426,0.02061855670103093,0.2210526315789474,-1.4680629718656226,-0.017289073011569716,1
chocolate hazelnut spread,100,5.5,5.3,0.0,0.0,11.5,10.0,1.0,1.0,0.0,0.099,0.2,0.0,0.005,0.02,0.042,0.036,0.072,0.1,0.056,0.0,0.0,0.9,0.071,20.0,0.061,0.8,11.8,0.2,28.1,75.3,0.021,0.2,39.8,105.9,1.0590000000000002,0.04,0.46,0.495,87.1,0.871,0.1,0.9636363636363636,-0.4736462812613669,1.3335320205465657,1
peanut butter,88,7.4,1.4,3.1,1.7,3.6,1.0,3.3,0.9,0.0,0.085,0.2,0.0,0.0,0.081,0.063,0.0,0.041,2.0,0.2,0.078,0.0,0.0,0.9,0.0,8.1,0.079,0.3,26.9,0.2,50.3,88.8,0.044,15.268,64.6,0.734090909090909,0.15,0.16363636363636364,0.756818181818182,50.599999999999994,0.575,0.9,0.18918918918918917,-0.23132863323937788,2.290799543957121,1
peanut spread,101,8.5,1.6,4.2,2.5,2.2,0.5,3.8,1.2,0.0,0.028,0.3,0.0,0.091,0.079,0.0,0.025,2.5,0.2,0.049,0.0,0.0,1.2,0.046,11.2,0.1,0.4,25.4,0.3,54.3,126.8,0.078,0.5,27.3,167.7,1.6603960396039603,0.1504950495049505,0.08712871287128714,0.7574257425742574,152.2,1.5069306930693067,2.4,0.18823529411764706,0.1001590921122589,2.104142640908535,1
chicken spread,88,9.8,1.8,2.7,1.3,2.3,0.3,10.1,0.2,31.4,0.4,32.1,0.076,0.06,0.048,0.064,0.003,1.5,0.2,0.016,0.0,0.0,0.0,0.0,9.0,0.049,0.5,6.7,0.083,49.8,59.4,0.029,0.6,31.972,84.5,0.9602272727272727,0.45909090909090905,0.10454545454545454,1.0022727272727272,66.1,0.7511363636363636,0.6666666666666667,0.18367346938775508,0.15718743490309445,2.596557523371368,1
cheese spread,708,68.6,43.2,19.4,2.5,8.4,8.4,17.0,0.0,216.0,1.2,140.4,0.7,0.071,0.027,0.011,0.5,2.3,0.0,0.051,0.0,0.091,1.8,0.098,170.4,0.02,2.7,14.4,0.0,218.4,268.8,0.065,1.2,267.8,373.791,0.5279533898305084,0.096045197740113,0.04745762711864407,0.8720338983050847,283.291,0.4001285310734463,0.0,0.6297376093294461,4.888581809461669,4.451851726602753,2
american cheese spread,46,3.4,2.1,1.0,0.062,1.4,1.2,2.6,0.0,8.8,0.3,7.6,0.043,0.012,0.066,0.022,0.076,0.089,0.1,0.086,0.0,0.014,0.022,0.046,89.9,0.061,0.079,4.6,0.062,140.0,38.7,0.052,0.4,97.357,50.476,1.0973043478260869,0.22608695652173913,0.1217391304347826,0.6652173913043478,43.314,0.9416086956521739,0.0,0.6176470588235294,-0.6273089785112144,2.0725691443270224,1
apricot jam,48,0.01,0.042,0.0,0.0,12.9,8.7,0.1,0.044,0.0,0.004,6.9,0.0,0.0,0.017,0.0,0.053,0.096,0.087,0.068,1.8,0.0,0.048,0.0,4.0,0.07,0.066,0.8,0.099,0.6,15.4,0.009,0.062,18.91,29.286,0.610125,0.008333333333333333,1.075,0.001875,16.2,0.33749999999999997,0.005057471264367816,4.2,-1.6103617788560076,-0.1697136248551215,1
chunky peanut butter,94,8.0,1.2,3.7,2.2,3.5,1.3,3.8,1.3,0.0,0.03,0.2,0.0,0.018,0.094,0.0,0.013,2.2,0.2,0.072,0.0,0.0,1.0,0.016,7.2,0.002,0.3,25.6,0.3,51.0,119.2,0.045,0.4,24.1,160.5,1.7074468085106382,0.16170212765957445,0.14893617021276595,0.7659574468085106,144.8,1.5404255319148938,1.0,0.15,0.011191411464382617,1.9872488717047967,1
